food_id,nutrition_key,food_name,source,status
174,Buaya daging dendeng mentah,Buaya daging dendeng mentah,nutrition1_indonesia,AVAILABLE
175,Bubur,Bubur,nutrition1_indonesia,AVAILABLE
176,Bubur sagu,Bubur sagu,nutrition1_indonesia,AVAILABLE
177,Bubur tinotuan (Manado),Bubur tinotuan (Manado),nutrition1_indonesia,AVAILABLE
178,Bulgogi masakan,Bulgogi masakan,nutrition1_indonesia,AVAILABLE
179,Bulung Jajan,Bulung Jajan,nutrition1_indonesia,AVAILABLE
180,Bulung Sangu,Bulung Sangu,nutrition1_indonesia,AVAILABLE
181,Buncis,Buncis,nutrition1_indonesia,AVAILABLE
182,Buncis asam,Buncis asam,nutrition1_indonesia,AVAILABLE
183,Buncis rebus,Buncis rebus,nutrition1_indonesia,AVAILABLE
184,Bunga pepaya segar,Bunga pepaya segar,nutrition1_indonesia,AVAILABLE
185,Bunga turi segar,Bunga turi segar,nutrition1_indonesia,AVAILABLE
186,Bungkil Biji Karet,Bungkil Biji Karet,nutrition1_indonesia,AVAILABLE
187,Bungkil Kacang Tanah,Bungkil Kacang Tanah,nutrition1_indonesia,AVAILABLE
188,Bungkil Kelapa,Bungkil Kelapa,nutrition1_indonesia,AVAILABLE
189,Buntil,Buntil,nutrition1_indonesia,AVAILABLE
190,Buntil daun talas,Buntil daun talas,nutrition1_indonesia,AVAILABLE
191,Buras,Buras,nutrition1_indonesia,AVAILABLE
192,Burung sarang segar,Burung sarang segar,nutrition1_indonesia,AVAILABLE
193,Cabai gembor merah segar,Cabai gembor merah segar,nutrition1_indonesia,AVAILABLE
194,Cabai hijau segar,Cabai hijau segar,nutrition1_indonesia,AVAILABLE
195,Cabai merah kering,Cabai merah kering,nutrition1_indonesia,AVAILABLE
196,Cabai merah segar,Cabai merah segar,nutrition1_indonesia,AVAILABLE
197,Cabai rawit segar,Cabai rawit segar,nutrition1_indonesia,AVAILABLE
198,Caisin segar,Caisin segar,nutrition1_indonesia,AVAILABLE
199,Cakalang asar (asap papua),Cakalang asar (asap papua),nutrition1_indonesia,AVAILABLE
200,Cake tape,Cake tape,nutrition1_indonesia,AVAILABLE
201,Cammetutu,Cammetutu,nutrition1_indonesia,AVAILABLE
202,Cantel mentah,Cantel mentah,nutrition1_indonesia,AVAILABLE
203,Cap cai sayur,Cap cai sayur,nutrition1_indonesia,AVAILABLE
204,Carica papaya segar,Carica papaya segar,nutrition1_indonesia,AVAILABLE
205,Cassavastick,Cassavastick,nutrition1_indonesia,AVAILABLE
206,Cempedak,Cempedak,nutrition1_indonesia,AVAILABLE
